audit_date,ticker,participation,daily_vol,delta_weight,delta_weight_gross,impact_bps_i,cost_bps_of_nav,annualized_cost_bps
2023-06-15,MRNA,0.004550111625425627,0.02528797532010426,0.0004404803931969282,0.0006188693850475685,8.52894058230841,0.005278300213280456,1.330131653746675
2023-06-15,DLTR,0.004460737281162638,0.02224446725074015,0.0004647913854621405,0.0006530260219045959,7.428400939191039,0.004850939114432288,1.2224366568369365
2023-06-15,MCO,0.005799045507862108,0.0112762711613082,0.0007473044263173242,0.0010499532735196296,4.2935228012323625,0.0045079983200850895,1.1360155766614426
2023-06-15,WBD,0.0029934497333017384,0.03223217808786521,0.00035998418308326365,0.0005057732272591522,8.817503549253775,0.004459657226475111,1.123833621071728
2023-06-15,KLAC,0.004429842843447586,0.023760305706065837,0.000401427385447262,0.0005640004027646532,7.907081004758482,0.004459596871376523,1.1238184115868837
2023-06-15,COHR,0.005407239797946936,0.04054941951978168,0.00020128196518942685,0.0002827986170141645,14.9087921738745,0.004216185808123308,1.0624788236470735
2023-06-15,DG,0.002823450730670884,0.02846257976319358,0.00034870439604698343,0.0004899252690425662,7.561959931922579,0.0037047952541362753,0.9336084040423414
2023-04-20,__TOTAL__,0.0015981654863787412,0.018658453445248323,1.2452625986223567,1.74957821173124,1.439478164416218,16.75642497451824,4222.619093578596
2023-04-20,BLDR,0.03061962181115278,0.021199040032488594,0.07337461422822172,0.1030904055818456,18.547531207760823,1.9120725147500017,481.8422737170004
2023-04-20,CPAY,0.0643568917745874,0.02131077495468452,0.04957925848503539,0.06965823152094451,27.031290366659288,1.8829518826706297,474.5038744329987
2023-04-20,ARES,0.07107060906165767,0.020650186994436926,0.03565445850440217,0.050094063548836526,27.525740527809536,1.378876195228876,347.47680119767676
2023-04-20,VST,0.03950499479509832,0.027336161366770213,0.02674057929739032,0.037570175928791145,27.166490530990437,1.0206498286171495,257.20375681152166
2023-04-20,MELI,0.009933369274410846,0.022714962391199623,0.037904024404240615,0.05325467520501661,11.319580094988368,0.6028205614157766,151.9107814767757
2023-04-20,TPL,0.037372527122193216,0.022288685842074364,0.019240098755599486,0.02703209556891437,21.544216272471626,0.5823853132348131,146.7610989351729
2023-04-20,NEM,0.01146736706286639,0.021792382047583277,0.03201520790791763,0.04498096245860599,11.668272564839608,0.5248501301958327,132.26223280934985
2023-04-20,TRGP,0.031506506784697,0.018525796971267185,0.02149140725206526,0.030195155551330535,16.441711813851303,0.496460045749389,125.10793152884604
2023-04-20,FICO,0.02792281239861583,0.016430387182900158,0.0236429261399606,0.03321801239498289,13.727687407250242,0.45600649044848907,114.91363559301925
2023-04-20,PPG,0.02128938644813092,0.01710301871899141,0.025724187457085962,0.036142158239714776,12.477407188186545,0.45096042501679273,113.64202710423177
2023-04-20,NTAP,0.026793706284537065,0.01534116151419503,0.023091895541316056,0.03244382136856624,12.55580732896808,0.40735837011917514,102.65430927003213
2023-04-20,BALL,0.02962838918545801,0.018070878487931125,0.016308056759388168,0.02291261362339744,15.552610309299512,0.35635095085224744,89.80043961476636
2023-04-20,BAX,0.01103868684110196,0.022878856911062204,0.020416517390901938,0.02868494888232538,12.018853262920883,0.34476019147105513,86.87956825070589
2023-04-20,DELL,0.01730973814816745,0.01728404097311766,0.02140305340328376,0.030071019510529397,11.37000198707876,0.3419075515882034,86.16070300022726
2023-04-20,CF,0.014352723891357654,0.021736226767161568,0.01817042804703312,0.025529221743341147,13.020310038883538,0.3323983821497086,83.76439230172657
2023-04-20,MRNA,0.005015537571495908,0.02719285892324203,0.024385347504705546,0.03426110502871215,9.629053904503152,0.3299020271493133,83.13531084162696
2023-04-20,OKE,0.024529397831425152,0.015863920431718165,0.018814053867257693,0.026433507885732597,12.422928072594301,0.3283815671708103,82.75215492704419
2023-04-20,UAL,0.005968151476089252,0.025299104639410475,0.02021146589058813,0.028396854116106006,9.77226137409439,0.277501480624616,69.93037311740324
2023-04-20,VLO,0.005510661688833934,0.02696158946740525,0.0196322775674142,0.027583101842621423,10.00731040177241,0.27603266198281307,69.56023081966889
2023-04-20,ACGL,0.01791764896413485,0.01911580130568661,0.014809912454469954,0.020807739810585656,12.793902123862265,0.2662121865554252,67.08547101196716
