portfolio,rebalance_frequency,liquidity_filter,cost_bps,weights,annualized_return,annualized_sharpe,max_drawdown,average_daily_turnover,long_turnover,short_turnover,entry_turnover,exit_turnover,hit_rate,net_cumulative_return,n_days
dedup_3f_equal_weight_idio,daily,none,0,short_term_reversal=0.3333; idiosyncratic_vol=0.3333; week_52_high=0.3333,0.15273525770950958,0.8153859551232646,-0.3162503270596023,0.26030235163298987,0.10102909055280701,0.15953947011745062,0.130198772418208,0.12980659352625298,0.5074681238615665,3.7033950853370223,2745
dedup_3f_fm_weighted_idio,daily,adv20_filtered,10,short_term_reversal=0.2503; idiosyncratic_vol=0.4153; week_52_high=0.3345,0.07335361944540719,0.45386911072160835,-0.33336452536160033,0.2191209632525308,0.08582798978852058,0.1335167698279188,0.10956120479550674,0.10916532683240573,0.49799635701275047,1.1621070957935458,2745
dedup_3f_fm_weighted_idio,daily,adv20_filtered,20,short_term_reversal=0.2503; idiosyncratic_vol=0.4153; week_52_high=0.3345,0.015239896944511777,0.174778523794616,-0.37512422378487975,0.2191209632525308,0.08582798978852058,0.1335167698279188,0.10956120479550674,0.10916532683240573,0.48633879781420764,0.17910275216320048,2745
dedup_3f_fm_weighted_idio,weekly_5d,none,0,short_term_reversal=0.2503; idiosyncratic_vol=0.4153; week_52_high=0.3345,0.13027934342520964,0.7240144727187363,-0.2895698203241336,0.09567926685827496,0.038425020433723145,0.057544224653272136,0.047875305386117076,0.04748684889364258,0.5085672621217645,2.792478350638035,2743
dedup_3f_fm_weighted_idio,weekly_5d,none,5,short_term_reversal=0.2503; idiosyncratic_vol=0.4153; week_52_high=0.3345,0.11661683466771655,0.6616725241214402,-0.2912887701237372,0.09567926685827496,0.038425020433723145,0.057544224653272136,0.047875305386117076,0.04748684889364258,0.5067444403937295,2.322256054968022,2743
dedup_3f_fm_weighted_idio,weekly_5d,none,10,short_term_reversal=0.2503; idiosyncratic_vol=0.4153; week_52_high=0.3345,0.10311603779869882,0.5993072179831325,-0.2969502414899601,0.09567926685827496,0.038425020433723145,0.057544224653272136,0.047875305386117076,0.04748684889364258,0.5027342325920525,1.910237047584674,2743
dedup_3f_fm_weighted_idio,weekly_5d,none,20,short_term_reversal=0.2503; idiosyncratic_vol=0.4153; week_52_high=0.3345,0.07659210705184827,0.47455617308166004,-0.31666374648179463,0.09567926685827496,0.038425020433723145,0.057544224653272136,0.047875305386117076,0.04748684889364258,0.4979948960991615,1.2329277741479547,2743
dedup_3f_fm_weighted_idio,weekly_5d,adv20_filtered,0,short_term_reversal=0.2503; idiosyncratic_vol=0.4153; week_52_high=0.3345,0.10121656839538495,0.5848073353813252,-0.3114431045511925,0.09917842113645911,0.04055274075857474,0.05889129311984022,0.049606797065647856,0.04921551324773041,0.5063798760481225,1.8561526735940825,2743
dedup_3f_fm_weighted_idio,weekly_5d,adv20_filtered,5,short_term_reversal=0.2503; idiosyncratic_vol=0.4153; week_52_high=0.3345,0.08742139889049505,0.5211780783634646,-0.3131246168246026,0.09917842113645911,0.04055274075857474,0.05889129311984022,0.049606797065647856,0.04921551324773041,0.5030987969376595,1.4899348346458625,2743
dedup_3f_fm_weighted_idio,weekly_5d,adv20_filtered,10,short_term_reversal=0.2503; idiosyncratic_vol=0.4153; week_52_high=0.3345,0.0737954552793294,0.45753022232397367,-0.316780360382687,0.09917842113645911,0.04055274075857474,0.05889129311984022,0.049606797065647856,0.04921551324773041,0.5016405395552315,1.170594724439595,2743
dedup_3f_fm_weighted_idio,weekly_5d,adv20_filtered,20,short_term_reversal=0.2503; idiosyncratic_vol=0.4153; week_52_high=0.3345,0.0470431416843593,0.3302314172293652,-0.33575184982726436,0.09917842113645911,0.04055274075857474,0.05889129311984022,0.049606797065647856,0.04921551324773041,0.4947138169886985,0.6493500197518247,2743
