date,weight_l1,gross_diff,return_diff_bps,beta_diff
2022-11-22,0.15612873135175576,8.881784197001252e-16,3.4107651878395076,7.771561172376096e-16
2022-11-23,0.2454440155687409,6.661338147750939e-16,2.5075232666535787,1.942890293094024e-16
2022-11-25,0.2467560477229817,2.220446049250313e-16,7.354741929805307,3.885780586188048e-16
2022-11-28,0.2455454677487667,0.0,0.3813224900262296,5.551115123125783e-17
2022-11-29,0.24195549873301578,4.440892098500626e-16,1.3434842157778946,2.7755575615628914e-16
2022-11-30,0.24260701558042988,0.0,22.902014965630784,3.3306690738754696e-16
2022-12-01,0.2983023804612269,4.440892098500626e-16,4.345269644504025,4.996003610813204e-16
2022-12-02,0.29667835242472584,2.220446049250313e-16,9.378333071858583,1.0547118733938987e-15
2022-12-05,0.29421392130399515,4.440892098500626e-16,14.211980592088013,9.71445146547012e-17
2022-12-06,0.29132433351568987,0.0,0.7261719938473146,5.273559366969494e-16
2022-12-07,0.29290462538127365,4.440892098500626e-16,2.419777940234245,3.885780586188048e-16
2022-12-08,0.3835665638905157,6.661338147750939e-16,21.511648634619704,6.800116025829084e-16
2022-12-09,0.38966789082602715,0.0,12.9559343626468,1.3183898417423734e-15
2022-12-12,0.3864308088739927,8.881784197001252e-16,1.2480492772725533,1.1102230246251565e-16
2022-12-13,0.3791750845215862,2.220446049250313e-16,8.182355427388236,5.551115123125783e-17
2022-12-14,0.3775596330088773,4.440892098500626e-16,0.5396135193747736,1.1379786002407855e-15
2022-12-15,0.5015112344140477,0.0,24.443718497639683,1.0685896612017132e-15
2022-12-16,0.5140990161159917,0.0,1.0473990116991598,2.7755575615628914e-17
2022-12-19,0.5202709838227997,6.661338147750939e-16,6.160448913908305,6.106226635438361e-16
2022-12-20,0.5504248533850817,0.0,4.699786865032347,7.077671781985373e-16
2022-12-21,0.5781657714155372,4.440892098500626e-16,9.3862642070421,2.3592239273284576e-16
2022-12-22,0.6746848673967424,4.440892098500626e-16,24.643689493003645,1.1102230246251565e-16
2022-12-23,0.7185387470845083,0.0,22.394436979870516,1.942890293094024e-16
2022-12-27,0.7265074813532573,2.220446049250313e-16,3.4910434269244672,7.216449660063518e-16
2022-12-28,0.7127733121822258,0.0,9.450559216690351,4.718447854656915e-16
2022-12-29,0.6903394093314628,0.0,5.628597557250413,5.273559366969494e-16
2022-12-30,0.6559385177413626,0.0,8.614177621846098,6.938893903907228e-16
2023-01-03,0.6619099395341591,2.220446049250313e-16,22.243765432657547,2.498001805406602e-16
2023-01-04,0.6650757225902493,4.440892098500626e-16,1.6548051534563333,6.38378239159465e-16
2023-01-05,0.6482635465461122,2.220446049250313e-16,34.18384630057476,2.220446049250313e-16
2023-01-06,0.6512285045621743,2.220446049250313e-16,48.52062324884338,7.216449660063518e-16
2023-01-09,0.5799994545618952,4.440892098500626e-16,21.750756194800143,2.914335439641036e-16
2023-01-10,0.6004188730873581,0.0,38.272642768869275,6.002143226879753e-16
2023-01-11,0.628047712599842,0.0,24.495235433456088,5.273559366969494e-16
2023-01-12,0.6142742634355829,4.440892098500626e-16,4.561951263425332,1.3877787807814457e-17
2023-01-13,0.5924146608893409,0.0,9.86009115313657,4.787836793695988e-16
2023-01-17,0.3266246232654994,4.440892098500626e-16,1.4476958879204236,9.71445146547012e-17
2023-01-18,0.32464093737636174,6.661338147750939e-16,3.347887760198759,1.1796119636642288e-16
2023-01-19,0.3521699678103486,4.440892098500626e-16,1.4010322678409663,9.71445146547012e-17
