date,total_pnl,market_beta_pnl,sector_exposure_pnl,size_value_momentum_factor_pnl,transaction_cost_pnl,residual_alpha_pnl,rolling_60d_residual_beta,total_sector_pnl__Information Technology,total_sector_pnl__Unknown,total_sector_pnl__Consumer Staples,total_sector_pnl__Energy,total_sector_pnl__Utilities,total_sector_pnl__Industrials,total_sector_pnl__Consumer Discretionary,total_sector_pnl__Communication Services,total_sector_pnl__Financials,total_sector_pnl__Materials,total_sector_pnl__Real Estate,total_sector_pnl__Health Care
2016-03-14,0.004371206621698942,3.0265893802457464e-19,0.0018297799071207606,0.0,-3.4347073657822166e-05,0.0025757737882360033,0.41616982974596844,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-03-15,-0.012156672394328827,-1.8087596367312692e-19,0.0013479572048484384,0.0,-2.197522402014057e-05,-0.013482654375157124,0.43476144327036137,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-03-16,0.00026121299673248125,3.615754563145548e-18,-0.009888427592737647,0.0,-3.0678605216553915e-05,0.010180319194686678,0.43301499988676306,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-03-17,-0.00507130034735799,-1.798211059614464e-18,-0.00246932224549838,0.0,-0.0003675241141648058,-0.002234453987694803,0.45272152039546104,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-03-18,0.00592939188791901,8.735860294169554e-19,0.0005753920145399792,0.0,-2.8153518062867964e-05,0.005382153391441898,0.45521934242886664,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-03-21,0.0008038606452498044,-2.2946270062962794e-19,0.0005620756623369487,0.0,-1.2440792164568054e-05,0.00025422577507742397,0.45689065666278544,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-03-22,0.0031698556986615735,5.0101603732426493e-20,-1.9343230222822557e-05,0.0,-9.729710981730075e-06,0.003198928639866126,0.443112184407642,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-03-23,-0.009686660705126818,5.674955773926308e-18,0.00855055296393031,0.0,-1.9551798706416045e-05,-0.018217661870350718,0.45603531240941103,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-03-24,-0.004282693807332602,-3.8517834099486054e-19,-0.0021068093068618518,0.0,-0.0004294112471547564,-0.0017464732533159937,0.45530346373294306,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-03-28,-0.00019340431984751582,8.613298834956053e-19,0.0015332413583711967,0.0,-3.1225688342619197e-06,-0.0017235231093844514,0.45901758671001125,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-03-29,0.0045097015227789005,-1.309446133308505e-19,0.000805085442364169,0.0,-1.1286784344295786e-05,0.0037159028647590275,0.4542255036305385,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-03-30,0.00020681065370547385,2.9382697524128073e-19,0.00017563574841352432,0.0,-2.5295336332557454e-05,5.647024162450668e-05,0.46845195724348804,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-03-31,0.005593731961331581,2.5387461029598197e-20,-0.0013297120007930159,0.0,-1.6968819693080692e-05,0.006940412781817678,0.49349971666965364,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-04-01,0.0019229838443676913,-4.2813155442847966e-19,0.00565250724646826,0.0,-0.00042855928605989616,-0.0033009641160406723,0.4909879917488595,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-04-04,0.0035488513684698874,1.5837857361099525e-18,0.0024786562274680232,0.0,-7.819543284461415e-06,0.0010780146842863238,0.47124427877185576,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-04-05,-0.004668308043394729,1.941234358938229e-18,-0.0004812103314037235,0.0,-2.995258838491509e-05,-0.0041571451236060925,0.4726906349728294,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-04-06,0.0016555099648525274,-1.5148341514102193e-18,-0.002595951040948832,0.0,-4.4041930312651195e-05,0.0042955029361140115,0.48274438371443174,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-04-07,0.001889708831419556,4.5710712851363894e-18,-0.0014054552578216515,0.0,-3.2985287134481587e-05,0.003328149376375685,0.46244698071942775,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-04-08,-0.00816618571841853,-2.185676940043238e-19,-0.006741468270236821,0.0,-0.00044538772647443106,-0.0009793297217072783,0.4707487946142206,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-04-11,0.0007634250682736686,-6.47701679770656e-19,1.749528324546366e-05,0.0,-1.131615541980221e-05,0.0007572459404480078,0.46274919610669507,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-04-12,0.0012766032804147386,4.2271303655982816e-19,-0.004041100342123509,0.0,-7.635442768108398e-05,0.0053940580502193315,0.4566801839001102,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-04-13,0.006919150646447539,-4.715625899911962e-18,0.0008278080499062378,0.0,-3.8621919255327296e-05,0.006129964515796634,0.4588972636887562,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-04-14,-0.004780281566309642,4.0316165591642464e-19,0.0010462766961485636,0.0,-6.643369305855058e-05,-0.005760124569399656,0.4549899124327695,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-04-15,0.0017213016542019636,-3.4715621282722435e-19,0.003817262113179855,0.0,-0.00041202733184397166,-0.0016839331271339191,0.4759979730053577,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-04-18,-0.0021245192412375174,-2.423098951572658e-18,-0.0021033345096304243,0.0,-4.72065103336573e-05,2.602177872656694e-05,0.47002112544378455,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-04-19,-0.0017919710780944992,-1.0060137548532862e-18,-0.006183454638847003,0.0,-8.501312838064804e-06,0.004399984873590569,0.492233464906402,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-04-20,0.0007358596886377713,-5.0599875373989266e-20,-0.0034435442836427076,0.0,-5.768796483218865e-05,0.004237091937112668,0.4819000500285532,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-04-21,0.004237819502321003,1.3698979253426814e-19,-0.0014007287725560829,0.0,-4.8922529703697595e-05,0.005687470804580783,0.46751737899791046,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-04-22,0.0012297824477032558,-2.066112711365903e-18,-0.004094177818334066,0.0,-0.0003596547980250166,0.005683615064062341,0.46949209071548215,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-04-25,-0.00019565921079252487,-1.9686016217171745e-19,0.0036500866482125967,0.0,-4.180855414291205e-05,-0.0038039373048622096,0.4713851179112918,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-04-26,0.0033717590588252756,2.8844411068193076e-18,-0.003789938447723928,0.0,-1.3237123903123042e-05,0.007174934630452323,0.5139350264267416,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
2016-04-27,-0.0031773185965061615,-4.789784922266211e-19,-0.004681011553516642,0.0,-0.00014067272270290522,0.0016443656797133863,0.5131728198916591,-0.08683969037858374,-0.06675319704865348,-0.045512775284745094,-0.03025768359998479,-0.012127769863157712,-0.007565176160337177,-0.006755563499615256,-0.0029046905231696054,0.0023542386235274925,0.008353599179188207,0.010443664184458185,0.01356454207653558
